,Vg,Vo,Ig,Zin,Vl,Pin,Pout,PCE,Temperature,Time
126,(-0.07558989903809857+0j),(0.06874311225447059+0j),(3.6765409809884047e-06+0j),,,,,,,(2.036994448961089e-06+0j)
127,(-0.07760902550314462+0j),(0.06874279217677039+0j),(-2.445387403653653e-05+0j),,,,,,,(2.0369964897774153e-06+0j)
128,(-0.0795515612298684+0j),(0.06874176251409353+0j),(-5.268807888801222e-05+0j),,,,,,,(2.036998530593742e-06+0j)
129,(-0.08141558917003273+0j),(0.06874002090737419+0j),(-8.10059300030941e-05+0j),,,,,,,(2.0370005714100683e-06+0j)
130,(-0.08319926975270382+0j),(0.06873756551100955+0j),(-0.00010938678510373647+0j),,,,,,,(2.037002612226395e-06+0j)
131,(-0.08490084270131903+0j),(0.06873439500532473+0j),(-0.00013780951046104073+0j),,,,,,,(2.0370046530427214e-06+0j)
132,(-0.08651862876857136+0j),(0.06873050860885073+0j),(-0.00016625248848388727+0j),,,,,,,(2.037006693859048e-06+0j)
133,(-0.08805103139455543+0j),(0.06872590609040662+0j),(-0.00019469362568043952+0j),,,,,,,(2.0370087346753744e-06+0j)
134,(-0.0894965382830808+0j),(0.06872058778097583+0j),(-0.0002231103610429796+0j),,,,,,,(2.037010775491701e-06+0j)
135,(-0.0908537228933666+0j),(0.06871455458536552+0j),(-0.0002514796749157531+0j),,,,,,,(2.0370128163080274e-06+0j)
136,(-0.09212124584777427+0j),(0.06870780799363535+0j),(-0.0002797780984157285+0j),,,,,,,(2.037014857124354e-06+0j)
137,(-0.09329785625476475+0j),(0.06870035009228134+0j),(-0.00030798172348700693+0j),,,,,,,(2.0370168979406804e-06+0j)
138,(-0.09438239294161621+0j),(0.0686921835751572+0j),(-0.0003360662136802113+0j),,,,,,,(2.037018938757007e-06+0j)
139,(-0.09537378560166576+0j),(0.06868331175411405+0j),(-0.000364006815759396+0j),,,,,,,(2.0370209795733334e-06+0j)
140,(-0.09627105584982062+0j),(0.06867373856933587+0j),(-0.00039177837225007296+0j),,,,,,,(2.03702302038966e-06+0j)
141,(-0.09707331818862008+0j),(0.06866346859934577+0j),(-0.0004193553350524357+0j),,,,,,,(2.0370250612059864e-06+0j)
142,(-0.0977797808823656+0j),(0.06865250707065419+0j),(-0.00044671178025400157+0j),,,,,,,(2.037027102022313e-06+0j)
143,(-0.09838974673747385+0j),(0.06864085986701733+0j),(-0.0004738214242846332+0j),,,,,,,(2.0370291428386395e-06+0j)
144,(-0.09890261379128791+0j),(0.06862853353827009+0j),(-0.0005006576415645959+0j),,,,,,,(2.037031183654966e-06+0j)
145,(-0.09931787590594486+0j),(0.06861553530869376+0j),(-0.00052719348380196+0j),,,,,,,(2.0370332244712925e-06+0j)
146,(-0.09963512326790375+0j),(0.06860187308487505+0j),(-0.0005534017010987879+0j),,,,,,,(2.037035265287619e-06+0j)
147,(-0.0998540427922073+0j),(0.06858755546300908+0j),(-0.0005792547650260225+0j),,,,,,,(2.0370373061039455e-06+0j)
148,(-0.09997441843185931+0j),(0.06857259173559453+0j),(-0.000604724893824106+0j),,,,,,,(2.037039346920272e-06+0j)
149,(-0.09999613139057446+0j),(0.06855699189746542+0j),(-0.0006297840798796131+0j),,,,,,,(2.0370413877365985e-06+0j)
150,(-0.09991916024028395+0j),(0.06854076665110098+0j),(-0.0006544041196173694+0j),,,,,,,(2.037043428552925e-06+0j)
151,(-0.09974358094222026+0j),(0.06852392741115071+0j),(-0.000678556645932311+0j),,,,,,,(2.0370454693692515e-06+0j)
152,(-0.09946956677195266+0j),(0.06850648630810963+0j),(-0.0007022131632654381+0j),,,,,,,(2.037047510185578e-06+0j)
153,(-0.09909738814843383+0j),(0.068488456191076+0j),(-0.0007253450854038064+0j),,,,,,,(2.0370495510019046e-06+0j)
154,(-0.09862741236694533+0j),(0.06846985062952257+0j),(-0.0007479237760556109+0j),,,,,,,(2.037051591818231e-06+0j)
155,(-0.09806010323688008+0j),(0.06845068391401075+0j),(-0.0007699205922185208+0j),,,,,,,(2.0370536326345576e-06+0j)
156,(-0.09739602062385738+0j),(0.0684309710557781+0j),(-0.0007913069303229914+0j),,,,,,,(2.037055673450884e-06+0j)
157,(-0.09663581989724067+0j),(0.0684107277851297+0j),(-0.0008120542750931139+0j),,,,,,,(2.0370577142672106e-06+0j)
158,(-0.09578025128347151+0j),(0.06838997054856652+0j),(-0.0008321342510266716+0j),,,,,,,(2.037059755083537e-06+0j)
159,(-0.09483015912527956+0j),(0.06836871650458608+0j),(-0.0008515186763544114+0j),,,,,,,(2.0370617958998636e-06+0j)
160,(-0.09378648104901252+0j),(0.06834698351809562+0j),(-0.0008701796192975301+0j),,,,,,,(2.03706383671619e-06+0j)
161,(-0.09265024703892692+0j),(0.068324790153383+0j),(-0.0008880894564030366+0j),,,,,,,(2.0370658775325166e-06+0j)
